file_name,file_size,modification_date,file_type
catalina.2023-07-14,9663390,2024-01-17 09:49:12,log
catalina.2023-07-16,1917030,2024-01-17 09:49:12,log
catalina.2023-07-23,1657093,2024-01-17 09:49:08,log
catalina.2023-08-26,1133144,2024-01-17 09:49:08,log
