file_name,file_size,modification_date,file_type
235434251_RAW_PAN_LOG,14557,2024-01-17 09:49:08,txt
3.121-CVE_to_be_installed,111926,2024-01-17 09:49:12,txt
3.205-CVE_to_be_installed,37031,2024-01-17 09:49:12,txt
3.207-CVE_to_be_installed,37173,2024-01-17 09:49:12,txt
BAND_RPC,3614,2024-01-17 09:49:08,txt
import CSV,413,2024-01-17 09:49:08,txt
