file_name,file_size,modification_date,file_type
ddn-restapi-core-gs-4.2.1-3.3d53e4_dirty.noarch,20256,2024-01-17 09:49:12,rpm
fio-3.1-1.el6.x86_64,465144,2024-01-17 09:49:08,rpm
gpfs.gss.pmsensors-4.2.3-5.el7.x86_64,388676,2024-01-17 09:49:08,rpm
